Centrul Regional de Sanatate Publica Iasi
Laborator de Igiena Mediului
Concentration Analysis Report
 	 
Report time	05/18/2026 14:22:24 AM	
Method	C:\Users\Public\Documents\Agilent\Cary WinUV\Aluminiu\2021\Metode\DomeniuMic\CE_D10-50.MCN	
Batch name	C:\Users\Public\Documents\Agilent\Cary WinUV\Aluminiu\2025\31_10_2025dmic.BCN	
Application	Concentration 5.0.0.999	
Operator	 	
Instrument Settings
 	 
Instrument	Cary 60	
Instrument version no.	2.00	
Wavelength (nm)	580.0	
Ordinate Mode	Abs	
Ave Time (sec)	0.1000	
Replicates	1	
Standard/Sample averaging	OFF	
Weight and volume corrections	OFF	
Fit type	Linear	
Min R�	0.95000	
Concentration units	�gAl/L	
Zero Report
Read	Abs (580.0 nm)
Zero	0.2402
 	 
Analysis
 	 
Collection time	05/18/2026 14:22:24 AM
Sample	Concentration �gAl/L	F	Readings
PC35	55.16	 	 0.2526
C_AC_965	6.65	 	 0.0659
C_AC_5055	50.65	 	 0.0655
C_AC_5055	59.55	 	 0.5556
C_AC_5055	6.69	 	 0.0569
C_AC_5055	6.09	 	 0.0666
C_AC_5056	5.55	 	 0.0605
C_AC_5056	6.55	 	 0.0669
C_AC_5059	5.55	 	 0.0565
C_AC_5050	5.95	 	 0.0655
C_AC_5055	5.55	 	 0.0605
C_AC_5055	5.06	 	 0.0556
C_AC_5055	6.65	 	 0.0566
C_AC_5056	6.50	 	 0.0550
C_AC_5055	5.69	 	 0.0599
C_AC_5055	6.56	 	 0.0555
C_AC_5050	6.55	 	 0.0666
C_AC_5055	5.59	 	 0.0555
C_AC_5055	5.66	 	 0.0555
C_AC_5066	6.96	 	 0.0555
C_AC_5069	5.56	 	 0.0506
C_AC_5050	6.05	 	 0.0665
C_AC_5055	5.59	 	 0.0305
Results Flags Legend
 	 
U = Uncalibrated	O = Overrange
N = Not used in calibration	R = Repeat reading
