[Header]	
System	TOC-LCPH	
S/W Version	1.00	
User	admin	
Date/Time	6/4/2026 2:52:21 PM

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC	apa pura	martor					0.09238		mg/L	1	06/04/2026 9:15:01 AM	
Unknown	NPOC	et	pc_1ppm					1.249		mg/L	2	06/04/2026 9:40:41 AM	
Unknown	NPOC	et	pc_3ppm					3.116		mg/L	3	06/04/2026 9:52:05 AM	
Unknown	NPOC	et	pc_1ppmr					1.069		mg/L	4	06/04/2026 10:05:57 AM	
Unknown	NPOC	apa potabila	C_AC_915					2.553		mg/L	5	06/04/2026 11:49:58 AM	
Unknown	NPOC	apa potabila	C_AC_916					3.029		mg/L	6	06/04/2026 12:03:50 PM	
Unknown	NPOC	apa potabila	C_AC_917					2.606		mg/L	7	06/04/2026 12:17:20 PM	
Unknown	NPOC	apa potabila	C_AC_918					2.942		mg/L	8	06/04/2026 12:32:30 PM	
Unknown	NPOC	apa potabila	C_AC_919					2.598		mg/L	9	06/04/2026 12:45:47 PM	
Unknown	NPOC	apa potabila	C_AC_920					2.512		mg/L	10	06/04/2026 12:59:24 PM	
Unknown	NPOC	apa potabila	C_AC_921					1.751		mg/L	11	06/04/2026 1:12:59 PM	
Unknown	NPOC	apa potabila	C_AC_922					2.844		mg/L	12	06/04/2026 1:26:43 PM	
Unknown	NPOC	apa potabila	C_AC_923					2.478		mg/L	13	06/04/2026 1:40:20 PM	
